,word,closenessA,betweennessA,degreeA,transA,ncompoA,closenessB,betweennessB,degreeB,transB,ncompoB,closenessC,betweennessC,degreeC,transC,ncompoC,nSense,simp_word,N,RT,RTSD,ERR,length,Word,Frequency,C1Frequency,C2Frequency,C3Frequency,C4Frequency,C1FamilySize,C2FamilySize,C3FamilySize,C4FamilySize,C1FamilyFrequency,C2FamilyFrequency,C3FamilyFrequency,C4FamilyFrequency,C1ConditionalProbability,C12ConditionalProbability,C123ConditionalProbability,C1BackwardConditionalProbability,C12BackwardConditionalProbability,C123BackwardConditionalProbability,C1RE,C2RE,PMI,Strokes,C1Strokes,C2Strokes,C3Strokes,C4Strokes
0,一共,3.468970062788358e-05,0.0,0.0,,1.0,3.469451479721056e-05,0.0,4.0,1.0,5.0,4.22571365228236e-05,3.10503148086714e-06,5.0,0.9,5165.0,1,一共,40,741.71425,248.34715451011155,4.761904761904762,2,一共,13.8918,14863.7877,169.3284,,,432,42.0,,,9724.3662,148.2357,,,0.00174437,,,0.31124398,,,4.6165,2.3322,1.9283,7,1,6.0,,
1,一切,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,一切,40,610.6202499999998,104.6157915835556,0.0,2,一切,488.9177,14863.7877,555.2889,,,432,58.0,,,9724.3662,710.2446,,,0.06139255,,,0.88879755,,,4.6165,4.8116,4.6684,5,1,4.0,,
2,一律,3.468970062788358e-05,0.0,0.0,,1.0,3.469090404495941e-05,0.0,1.0,,2.0,3.847423226644012e-05,1.5528166155770652e-05,2.5,0.0,2583.5,2,一律,39,736.6146153846154,147.96963032727498,7.142857142857142,2,一律,2.9429,14863.7877,126.7654,,,432,26.0,,,9724.3662,165.9451,,,0.00036954,,,0.02831467,,,4.6165,5.0344,-0.6096,10,1,9.0,,
3,一心一意,3.468970062788358e-05,0.0,0.0,,1.0,3.469451479721056e-05,0.0,4.0,1.0,5.0,3.469451479721056e-05,0.0,4.0,1.0,5.0,1,一心一意,40,656.0399999999997,152.71473648100198,0.0,4,一心一意,4.8036,14863.7877,3688.8741,14863.7877,1521.0864,432,431.0,432.0,171.0,9724.3662,4197.7539,9724.3662,2027.7687,0.02494322,1.0,1.0,1.0,1.0,0.06657078,,,-15.7937,19,1,4.0,1.0,13.0
4,一模一樣,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,一模一样,38,636.1757894736843,154.98253100568326,2.564102564102564,4,一模一样,8.0801,14863.7877,263.2691,14863.7877,2035.0420000000001,432,32.0,432.0,68.0,9724.3662,356.1824,9724.3662,2919.0511,0.04195697,1.0,1.0,1.0,1.0,0.28608924,,,-9.8848,27,1,15.0,1.0,10.0
5,一樣,3.468970062788358e-05,0.0,0.0,,1.0,3.46939130051716e-05,0.0,2.5,1.0,4.5,3.8475004435939775e-05,4.14204780877986e-06,4.0,0.8,2584.0,2,一样,40,700.4495,296.42270360078703,0.0,2,一样,742.3795,14863.7877,2035.0420000000001,,,432,68.0,,,9724.3662,2919.0511,,,0.09321931,,,0.30272994,,,4.6165,4.4954,3.3881,11,1,10.0,,
6,一般,3.468970062788358e-05,0.0,0.0,,1.0,3.4691385478590004e-05,0.0,1.4,1.0,2.4,3.4691385478590004e-05,0.0,1.4,1.0,2.4,5,一般,40,618.6662499999999,139.38838552372422,0.0,2,一般,106.464,14863.7877,136.3704,,,432,10.0,,,9724.3662,120.6079,,,0.01336851,,,0.91048561,,,4.6165,3.2551,5.0238,11,1,10.0,,
7,一視同仁,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,一视同仁,40,737.1527500000002,193.57757562422097,4.761904761904762,4,一视同仁,0.6079,14863.7877,540.716,1060.7556,59.0123,432,86.0,136.0,24.0,9724.3662,667.2128,1155.8488,35.189,0.0031564,1.0,1.0,1.0,1.0,0.45810056,,,-6.4005,19,1,8.0,6.0,4.0
8,一貫,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,一贯,40,776.5520000000001,228.529199135331,2.4390243902439024,2,一贯,3.6916,14863.7877,11.8222,,,432,18.0,,,9724.3662,14.2772,,,0.00046355,,,0.47293447,,,4.6165,0.9721,3.4935,9,1,8.0,,
9,丈夫,3.468970062788358e-05,0.0,0.0,,1.0,3.4692709337573806e-05,0.0,2.5,1.0,3.5,3.847890876929039e-05,0.0,7.0,1.0,2587.5,2,丈夫,40,692.62075,357.61507859412836,2.4390243902439024,2,丈夫,69.4885,58.5728,290.7901,,,12,61.0,,,80.2743,327.9837,,,0.99090909,,,0.38419607,,,5.7481,5.876,10.0051,7,3,4.0,,
10,上升,3.468970062788358e-05,0.0,0.0,,1.0,3.469491611719389e-05,0.0,2.333333333333333,1.0,5.333333333333333,4.2257403816349986e-05,2.674445719954469e-10,5.333333333333333,0.9444444444444444,5165.0,3,上升,37,738.5670270270268,295.75287289733524,7.5,2,上升,21.3491,4716.721,487.5012,,,285,45.0,,,3394.0252,278.8584,,,0.01452228,,,0.27249503,,,5.3547,3.7287,3.0592,7,3,4.0,,
11,上天,3.468970062788358e-05,0.0,0.0,,1.0,3.469210754553339e-05,0.0,2.0,1.0,3.0,4.225718620385755e-05,0.0,2.0,1.0,5165.0,1,上天,40,754.9545,264.3098748696117,0.0,2,上天,17.2128,4716.721,5558.4494,,,285,294.0,,,3394.0252,4875.619000000001,,,0.01170859,,,0.00482558,,,5.3547,5.462999999999999,-1.3964,7,3,4.0,,
12,上學,3.4690302336421504e-05,0.0,0.5,,1.5,3.4690302336421504e-05,0.0,0.5,,1.5,3.4704145850374325e-05,2.5273512053569737e-08,2.0,0.0,13.0,2,上学,40,659.5450000000002,178.82368715351782,0.0,2,上学,43.8844,4716.721,1166.4395,,,285,248.0,,,3394.0252,1430.7191,,,0.02985135,,,0.07039072,,,5.3547,4.8545,1.7919999999999998,11,3,8.0,,
13,上市,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3,上市,38,857.9076315789474,350.6547263869146,5.0,2,上市,17.8873,4716.721,774.4444,,,285,69.0,,,3394.0252,929.3032,,,0.01216745,,,0.02678017,,,5.3547,7.3424,1.0493,8,3,5.0,,
14,上班,3.468970062788358e-05,0.0,0.0,,1.0,3.4690302336421504e-05,0.0,0.5,,1.5,3.469692313467657e-05,2.5273512053569737e-08,1.5,0.0,7.0,2,上班,40,583.7917499999999,136.20304774419608,0.0,2,上班,318.8436,4716.721,543.8222,,,285,72.0,,,3394.0252,604.9963,,,0.21688618,,,0.57594301,,,5.3547,5.8661,5.8336,13,3,10.0,,
15,上進,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,上进,42,733.5919047619051,290.99138559236775,0.0,2,上进,3.2691,4716.721,749.1160000000001,,,285,116.0,,,3394.0252,781.8458,,,0.00222372,,,0.02325459,,,5.3547,4.4889,-1.1496,10,3,7.0,,
16,下令,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,下令,39,786.4933333333335,354.4230139501998,2.5,2,下令,3.2468,4449.8815,154.9333,,,264,54.0,,,4733.017,78.8807,,,0.00162433,,,0.0487642,,,5.6857,4.2767,1.7962,8,3,5.0,,
17,下屬,3.47252716015826e-05,0.0,0.5,,30.5,3.4697524154137455e-05,0.0,2.5,1.0,7.5,4.225802494552469e-05,0.00013404175070442367,3.5,0.5833333333333333,5165.0,2,下属,41,628.180731707317,137.61302233782644,2.380952380952381,2,下属,6.6938,4449.8815,193.9556,,,264,31.0,,,4733.017,226.8866,,,0.0033488,,,0.06230164,,,5.6857,4.6993,1.1195,15,3,12.0,,
18,下流,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,下流,40,710.8964999999997,302.7172111321739,0.0,2,下流,3.1357,4449.8815,454.5778,,,264,171.0,,,4733.017,538.851,,,0.00156871,,,0.01844584,,,5.6857,4.3214,-1.0608,12,3,9.0,,
19,下降,3.468970062788358e-05,0.0,0.0,,1.0,3.4692508990766824e-05,0.0,1.6666666666666667,1.0,3.333333333333333,4.225740377505084e-05,0.0,4.666666666666667,1.0,5165.0,3,下降,41,706.9453658536585,186.193970593808,0.0,2,下降,26.4789,4449.8815,131.1605,,,264,43.0,,,4733.017,162.765,,,0.01324685,,,0.66954077,,,5.6857,2.4515,3.6882,12,3,9.0,,
20,不,3.4691305323154065e-05,2.674445719954469e-10,0.6666666666666666,0.0,2.333333333333333,3.46917066013661e-05,4.814002295918046e-09,1.6666666666666667,0.4,2.6666666666666665,3.7211744388905876e-05,1.2422532924616514e-05,2.6666666666666665,0.35714285714285715,1722.333333333333,3,不,38,660.971842105263,176.1855509438274,2.564102564102564,1,不,18099.3106,15110.2864,,,,669,,,,3758.5767,,,,,,,,,,,,,4,4,,,
21,不但,3.468970062788358e-05,0.0,0.0,,1.0,3.470173855710171e-05,2.674445719954469e-10,10.0,0.9777777777777779,11.0,3.470173855710171e-05,0.0,10.0,1.0,11.0,1,不但,38,767.6963157894737,263.8817725587777,7.317073170731707,2,不但,13.4025,15110.2864,1326.7605,,,669,5.0,,,3758.5767,766.7457,,,0.00535953,,,0.96068013,,,5.0989,1.4069999999999998,1.1452,11,4,7.0,,
22,不便,3.468970062788358e-05,0.0,0.0,,1.0,3.469050293376685e-05,0.0,0.6666666666666666,1.0,1.6666666666666667,3.469973144193981e-05,8.023337159863408e-09,3.333333333333333,0.8333333333333334,9.333333333333334,3,不便,42,710.357857142857,245.89534315049855,0.0,2,不便,3.7880000000000003,15110.2864,333.1753,,,669,47.0,,,3758.5767,324.3143,,,0.00151478,,,0.01742778,,,5.0989,5.3929,0.6658,13,4,9.0,,
23,不僅,3.468970062788358e-05,0.0,0.0,,1.0,3.4698728552716425e-05,4.3459742949260127e-10,7.5,0.9388888888888891,8.5,3.471981886678287e-05,0.0,10.5,1.0,26.0,2,不仅,38,659.7068421052633,179.58505209427642,5.0,2,不仅,42.0385,15110.2864,128.2963,,,669,5.0,,,3758.5767,95.6264,,,0.01681078,,,0.49442023,,,5.0989,4.876,5.9671,8,4,4.0,,
24,不公,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,不公,37,750.1832432432433,202.97546291299514,5.128205128205128,2,不公,2.8836,15110.2864,897.0864,,,669,162.0,,,3758.5767,1209.785,,,0.00115313,,,0.01443896,,,5.0989,5.1142,-1.557,8,4,4.0,,
25,不再,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,不再,39,797.0489743589743,306.1842453129617,7.142857142857142,2,不再,32.3647,15110.2864,1282.6321,,,669,21.0,,,3758.5767,284.8036,,,0.01294232,,,0.7352644,,,5.0989,2.2911,3.8546,10,4,6.0,,
26,不只,3.468970062788358e-05,0.0,0.0,,1.0,3.469872851094851e-05,0.0,6.5,1.0,8.5,3.471981886678287e-05,0.0,10.5,1.0,26.0,2,不只,30,969.9509999999997,330.7547830639117,25.0,2,不只,0.7413,15110.2864,2008.9679,,,669,22.0,,,3758.5767,1032.6835,,,0.00029643,,,0.37037037,,,5.0989,0.8332,-3.4217,9,4,5.0,,
27,不幸,3.468970062788358e-05,0.0,0.0,,1.0,3.469210787958393e-05,1.6046674319726826e-10,2.0,0.9333333333333332,3.0,3.721190620529716e-05,1.8608615023061866e-05,3.6666666666666665,0.8181818181818181,1722.333333333333,3,不幸,39,659.6323076923078,161.09911154091182,4.878048780487805,2,不幸,34.7072,15110.2864,746.9235,,,669,23.0,,,3758.5767,1067.6353,,,0.01387905,,,0.43327781,,,5.0989,4.086,2.0757,12,4,8.0,,
28,不惜,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,不惜,39,789.7112820512821,310.63277435938437,2.5,2,不惜,4.5145,15110.2864,206.31599999999997,,,669,10.0,,,3758.5767,281.5419,,,0.00180528,,,0.01643459,,,5.0989,5.9215,1.0233,15,4,11.0,,
29,不料,3.468970062788358e-05,0.0,0.0,,1.0,3.469692238298463e-05,0.0,6.0,1.0,7.0,3.469692238298463e-05,0.0,6.0,1.0,7.0,1,不料,38,792.5805263157894,186.1578690679815,9.523809523809524,2,不料,3.4396,15110.2864,191.6,,,669,72.0,,,3758.5767,228.7472,,,0.00137545,,,0.01747383,,,5.0989,5.3159,1.0244,14,4,10.0,,
30,不止,3.468970062788358e-05,0.0,0.0,,1.0,3.469692274501569e-05,2.8973161966173423e-10,6.0,0.9592592592592594,7.0,3.4710982954393314e-05,0.0,8.0,1.0,18.666666666666668,3,不止,39,755.0584615384614,329.05708117476337,2.5,2,不止,15.4337,15110.2864,186.321,,,669,45.0,,,3758.5767,234.2698,,,0.00617176,,,0.07749284,,,5.0989,5.7216,3.1611,8,4,4.0,,
31,不法,3.468970062788358e-05,0.0,0.0,,1.0,3.469050293376685e-05,0.0,0.6666666666666666,1.0,1.6666666666666667,3.469050293376685e-05,0.0,0.6666666666666666,1.0,1.6666666666666667,3,不法,31,916.8138709677417,290.43767396439733,22.5,2,不法,1.1045,15110.2864,826.637,,,669,207.0,,,3758.5767,1060.0297,,,0.00044169,,,0.0013366,,,5.0989,5.5837,-2.8974,12,4,8.0,,
32,不滿,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,不满,40,762.6292500000002,275.87396581091787,0.0,2,不满,11.7939,15110.2864,410.8889,,,669,87.0,,,3758.5767,402.3277,,,0.00471627,,,0.0620539,,,5.0989,5.7835,2.037,17,4,13.0,,
33,不然,3.468970062788358e-05,0.0,0.0,,1.0,3.4691706434343725e-05,0.0,1.6666666666666667,1.0,2.6666666666666665,3.4691706434343725e-05,0.0,1.6666666666666667,1.0,2.6666666666666665,3,不然,38,734.9150000000003,305.201989878302,5.0,2,不然,77.1609,15110.2864,1939.9062,,,669,139.0,,,3758.5767,2779.6961,,,0.03085584,,,0.0354964,,,5.0989,6.1613,1.8378,16,4,12.0,,
34,不知所措,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,不知所措,39,731.7097435897438,282.41119769143614,2.5,4,不知所措,8.8362,15110.2864,2128.1432,1250.5827,21.6395,669,87.0,114.0,10.0,3758.5767,2828.0133,1445.6338,28.1542,0.06259189,0.23190661,0.90166415,1.0,1.0,0.87070855,,,-10.5684,31,4,8.0,8.0,11.0
35,不能,3.468970062788358e-05,0.0,0.0,,1.0,3.469170649001785e-05,0.0,1.6666666666666667,1.0,2.6666666666666665,3.973549866691636e-05,0.0,5.0,1.0,3444.333333333333,3,不能,37,706.5505405405405,270.40814850421475,7.5,2,不能,66.8643,15110.2864,3392.8198,,,669,87.0,,,3758.5767,1370.3706,,,0.02673836,,,0.07143536,,,5.0989,5.6953,2.6864,14,4,10.0,,
36,不良,3.468970062788358e-05,0.0,0.0,,1.0,3.4702942767772196e-05,2.674445719954469e-10,10.0,0.9777777777777779,12.0,4.225805310095116e-05,1.504375717474389e-10,17.0,0.9926470588235294,5165.0,1,不良,40,760.291,271.51725057157716,0.0,2,不良,19.7702,15110.2864,120.4741,,,669,45.0,,,3758.5767,128.599,,,0.0079059,,,0.2906812,,,5.0989,4.3168,4.2977,11,4,7.0,,
37,不過,3.468970062788358e-05,0.0,0.0,,1.0,3.470535610758458e-05,3.6591280077558883e-10,5.0,0.6575757575757576,14.0,3.72282815103435e-05,2.0710421392469243e-06,5.333333333333333,0.6742424242424243,1735.666666666667,3,不过,41,635.3414634146341,230.13153118989413,0.0,2,不过,498.7102,15110.2864,4522.7704,,,669,134.0,,,3758.5767,3698.5174,,,0.19942907,,,0.20673273,,,5.0989,6.028,4.1183,10,4,6.0,,
38,世界,3.468970062788358e-05,0.0,0.0,,1.0,3.469180672258167e-05,0.0,1.75,1.0,2.75,3.658287566465294e-05,3.106535856584614e-06,2.0,0.85,1293.0,8,世界,41,607.1514634146342,205.37844498097868,0.0,2,世界,677.6798,830.6074,590.2272,,,99,84.0,,,1155.2335,846.7606,,,0.80651251,,,0.92848873,,,7.406000000000001,7.8684,7.9455,14,5,9.0,,
39,世紀,3.468970062788358e-05,0.0,0.0,,1.0,3.46915057952464e-05,0.0,1.5,1.0,2.5,3.847428170073783e-05,0.0,1.5,1.0,2583.5,2,世纪,39,695.333076923077,255.31344800536573,2.5,2,世纪,40.808,830.6074,125.6049,,,99,39.0,,,1155.2335,165.3521,,,0.04856596,,,0.52538652,,,7.406000000000001,4.0562,6.4877,11,5,6.0,,
40,丟棄,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,丢弃,40,775.1535,329.47784777136576,0.0,2,丢弃,4.8629,100.637,199.6494,,,9,24.0,,,49.0511,269.3773,,,0.09948438,,,0.01837535,,,3.4129,6.6132,6.9607,13,6,7.0,,
41,並且,3.468970062788358e-05,0.0,0.0,,1.0,3.469391344364843e-05,2.005834289965852e-10,3.0,0.9333333333333332,4.5,3.470053420025443e-05,0.0,4.5,1.0,10.0,2,并且,41,643.869268292683,139.66600211558693,0.0,2,并且,74.2402,419.6642,268.6914,,,33,9.0,,,207.1905,351.705,,,0.38049466,,,0.21155024,,,7.0465,7.7799,8.4335,11,6,5.0,,
42,並列,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3,并列,39,699.9664102564103,203.45938547878742,0.0,2,并列,0.8747,419.6642,138.3704,,,33,49.0,,,207.1905,147.0571,,,0.00448311,,,0.01118377,,,7.0465,4.9425,3.3431,12,6,6.0,,
43,並用,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,并用,25,1037.922,429.1093461947274,37.5,2,并用,0.2076,419.6642,1499.9654,,,33,184.0,,,207.1905,831.7124,,,0.00106379,,,0.00035577,,,7.0465,5.2094,-1.2255,11,6,5.0,,
44,並重,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,并重,25,1092.6064,334.7674419015889,37.5,2,并重,0.3113,419.6642,899.0123,,,33,181.0,,,207.1905,1126.5382,,,0.00159568,,,0.00107828,,,7.0465,5.6299,-1.1101,15,6,9.0,,
45,中介,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,中介,39,753.8017948717951,258.7916634432923,0.0,2,中介,2.424,2432.6963,119.9407,,,245,23.0,,,1408.636,141.9867,,,0.00245865,,,0.10973154,,,5.2031,2.2426,2.0869,8,4,4.0,,
46,中國,3.468970062788358e-05,0.0,0.0,,1.0,3.469491615896228e-05,0.0,3.6666666666666665,1.0,5.333333333333333,3.97379981307961e-05,2.516444257446156e-05,5.0,0.6888888888888888,3446.0,3,中国,39,555.3397435897436,99.92027323103143,0.0,2,中国,372.1868,2432.6963,1661.2593,,,245,195.0,,,1408.636,1380.0741,,,0.37750376,,,0.3930453,,,5.2031,5.9062,6.1101,12,4,8.0,,
47,中外,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,中外,37,846.0672972972972,240.81818166465462,11.904761904761903,2,中外,2.3573,2432.6963,741.437,,,245,179.0,,,1408.636,904.9741,,,0.00239098,,,0.00751045,,,5.2031,5.3778,-0.5475,9,4,5.0,,
48,中央,3.618277708289582e-05,0.0,0.6,,1159.0,3.468994131129875e-05,0.0,0.2,,1.2,4.0744258759892604e-05,2.4854693853824866e-06,1.0,0.0,4132.2,5,中央,41,677.9568292682927,237.8045326464466,2.380952380952381,2,中央,25.7079,2432.6963,91.9556,,,245,4.0,,,1408.636,31.7494,,,0.02607519,,,1.0,,,5.2031,2.4888,7.6453,9,4,5.0,,
49,中心,3.6680445291262327e-05,0.0,0.8,,1545.0,3.4690181994713924e-05,0.0,0.4,,1.4,4.0744664386803583e-05,2.4854693853824866e-06,1.2,0.0,4132.4,5,中心,35,771.3691428571428,268.76831831820647,12.5,2,中心,91.8606,2432.6963,3688.8741,,,245,431.0,,,1408.636,4197.7539,,,0.09317293,,,0.03808119,,,5.2031,4.5667,2.5042,8,4,4.0,,
50,中斷,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,中断,39,775.4064102564104,313.1838548595208,2.5,2,中断,3.7287,2432.6963,276.8049,,,245,71.0,,,1408.636,261.3936,,,0.00378195,,,0.01608005,,,5.2031,4.9975,1.8752,15,4,11.0,,
51,中毒,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3,中毒,40,708.4322500000002,278.7195965848991,0.0,2,中毒,12.854000000000001,2432.6963,153.9605,,,245,73.0,,,1408.636,162.9355,,,0.01303759,,,0.16130233,,,5.2031,3.7285,4.3116,13,4,9.0,,
52,中等,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3,中等,40,720.70875,276.0453561597657,2.4390243902439024,2,中等,4.4403,2432.6963,1261.6889,,,245,53.0,,,1408.636,594.937,,,0.00450376,,,0.02285649,,,5.2031,6.0113,0.8912,16,4,12.0,,
53,中肯,3.468970062788358e-05,0.0,0.0,,1.0,3.469210754553339e-05,0.0,2.0,1.0,3.0,3.469210754553339e-05,0.0,2.0,1.0,3.0,1,中肯,36,753.1700000000002,184.3956753908749,10.0,2,中肯,0.9118,2432.6963,215.4519,,,245,6.0,,,1408.636,228.25799999999998,,,0.00092481,,,0.49003984,,,5.2031,0.7787,-0.0237,12,4,8.0,,
54,中葉,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,中叶,8,1410.6225000000004,618.6347340659563,77.5,2,中叶,0.2298,2432.6963,102.0691,,,245,44.0,,,1408.636,44.7739,,,0.00023308,,,0.00718924,,,5.2031,2.8514,0.4238,9,4,5.0,,
55,主人,3.468970062788358e-05,0.0,0.0,,1.0,3.469090404495941e-05,0.0,1.0,,2.0,3.7213147163428854e-05,0.0,1.6666666666666667,1.0,1723.0,3,主人,41,618.2236585365854,166.34864739089568,0.0,2,主人,36.0267,876.9580000000001,8774.3259,,,215,625.0,,,1129.5552,5702.1349,,,0.046479599999999996,,,0.01003552,,,5.4808,4.5563,1.1908,7,5,2.0,,
56,主力,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,主力,39,713.370512820513,206.8425856329127,2.5,2,主力,5.8933,876.9580000000001,1358.479,,,215,268.0,,,1129.5552,1516.6642,,,0.00760314,,,0.00540412,,,5.4808,5.8299,0.6281,7,5,2.0,,
57,主動,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,主动,41,714.7482926829268,355.9466946039984,0.0,2,主动,36.1972,876.9580000000001,1375.5852,,,215,236.0,,,1129.5552,1837.7094,,,0.04669957,,,0.0251425,,,5.4808,5.6773,2.7476,11,5,6.0,,
58,主導,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,主导,40,681.7715000000002,282.77039745103247,2.4390243902439024,2,主导,2.9281,876.9580000000001,239.5654,,,215,64.0,,,1129.5552,309.6961,,,0.00377766,,,0.022360599999999998,,,5.4808,5.0905,1.6977,11,5,6.0,,
59,主席,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,主席,40,615.2694999999998,134.81401483011928,0.0,2,主席,13.6175,876.9580000000001,50.1333,,,215,35.0,,,1129.5552,54.4477,,,0.01756852,,,0.3092072,,,5.4808,2.7274,6.4441,15,5,10.0,,
60,主張,3.468970062788358e-05,0.0,0.0,,1.0,3.4690302336421504e-05,0.0,0.5,,1.5,3.4690302336421504e-05,0.0,0.5,,1.5,2,主张,42,636.0404761904763,169.8166601604814,0.0,2,主张,3.9511,876.9580000000001,605.4963,,,215,38.0,,,1129.5552,156.0638,,,0.00509745,,,0.03078611,,,5.4808,6.0198,3.0681,12,5,7.0,,
61,主持,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,5,主持,40,661.26925,267.71870671483543,0.0,2,主持,22.6983,876.9580000000001,591.516,,,215,43.0,,,1129.5552,855.5819,,,0.02928406,,,0.03014106,,,5.4808,7.3335,3.176,14,5,9.0,,
62,主題,3.468970062788358e-05,0.0,0.0,,1.0,3.4690302336421504e-05,0.0,0.5,,1.5,3.4690302336421504e-05,0.0,0.5,,1.5,2,主题,41,661.9195121951218,232.5528564644091,0.0,2,主题,301.3269,876.9580000000001,729.363,,,215,43.0,,,1129.5552,1045.0408,,,0.388755,,,0.29707015,,,5.4808,7.2985,6.556,20,5,15.0,,
63,久遠,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,久远,41,843.0753658536585,391.20868337178825,2.380952380952381,2,久远,12.5649,438.6815,508.1185,,,45,71.0,,,369.6442,550.8451,,,0.30149413,,,0.02917484,,,3.7098,7.8068,4.4569,10,3,7.0,,
64,之前,3.468970062788358e-05,0.0,0.0,,1.0,3.469491660444124e-05,0.0,4.333333333333333,1.0,5.333333333333333,3.973608663352163e-05,4.1799756951532126e-05,11.333333333333336,0.8266606687659319,3444.333333333333,3,之前,39,665.4899999999999,218.68730674545105,4.878048780487805,2,之前,226.9755,1522.0741,1263.0123,,,177,147.0,,,1112.5204,1171.9422,,,0.28645336,,,0.27099818,,,5.5626,5.8864,6.3229,13,4,9.0,,
65,之後,3.468970062788358e-05,0.0,0.0,,1.0,3.471259956278552e-05,3.2579611497627164e-09,5.666666666666668,0.9060606060606059,20.0,3.9736032489823996e-05,8.276318223418884e-06,11.333333333333336,0.9065826960563804,3444.333333333333,3,之后,38,640.5426315789474,199.48366153626358,2.564102564102564,2,之后,239.1253,1522.0741,2222.0988,,,177,178.0,,,1112.5204,2316.8495,,,0.30178688,,,0.12813658,,,5.5626,6.1789,5.4085,10,4,6.0,,
