,word,closenessA,betweennessA,degreeA,transA,ncompoA,closenessB,betweennessB,degreeB,transB,ncompoB,closenessC,betweennessC,degreeC,transC,ncompoC,nSense,simp_word,N,RT,RTSD,ERR,length,Word,Frequency,C1Frequency,C2Frequency,C3Frequency,C4Frequency,C1FamilySize,C2FamilySize,C3FamilySize,C4FamilySize,C1FamilyFrequency,C2FamilyFrequency,C3FamilyFrequency,C4FamilyFrequency,C1ConditionalProbability,C12ConditionalProbability,C123ConditionalProbability,C1BackwardConditionalProbability,C12BackwardConditionalProbability,C123BackwardConditionalProbability,C1RE,C2RE,PMI,Strokes,C1Strokes,C2Strokes,C3Strokes,C4Strokes
2549,追,3.4689885772183424e-05,0.0,0.07692307692307693,,1.1538461538461535,3.4691459519609325e-05,0.0,1.4615384615384617,1.0,2.4615384615384617,3.46920150167433e-05,1.110923606750318e-09,1.6923076923076923,0.8055555555555557,2.9230769230769234,13,追,40,656.65125,221.96296390288038,0.0,1,追,89.5849,204.3753,,,,37,,,,149.1327,,,,,,,,,,,,,9,9,,,
2550,追求,3.468970062788358e-05,0.0,0.0,,1.0,3.4692107566410104e-05,0.0,2.0,1.0,3.0,3.4692709348011074e-05,0.0,2.0,1.0,3.5,4,追求,39,638.6302564102564,255.04691692734326,2.5,2,追求,61.6531,204.3753,581.1506,,,37,59.0,,,149.1327,333.44699999999995,,,0.42886609,,,0.23528913,,,5.685,6.3573,8.7955,16,9,7.0,,
2551,追蹤,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.469210764991043e-05,0.0,0.5,,3.0,2,追踪,40,647.7185000000002,172.77899598649842,2.4390243902439024,2,追踪,18.2802,204.3753,67.2988,,,37,8.0,,,149.1327,88.3617,,,0.12715928,,,0.22330888,,,5.685,4.7438,8.9326,24,9,15.0,,
2552,退,3.468970062788358e-05,0.0,0.0,,1.0,3.4689919434783394e-05,0.0,0.09090909090909093,,1.181818181818182,3.46904664539315e-05,2.188182861780929e-10,0.6363636363636364,0.5,1.6363636363636365,11,退,41,683.5729268292682,267.65440379567747,0.0,1,退,39.6368,128.4,,,,64,,,,129.7924,,,,,,,,,,,,,9,9,,,
2553,退休,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,退休,41,677.7063414634146,223.98957937542644,2.380952380952381,2,退休,14.3291,128.4,215.9012,,,64,42.0,,,129.7924,233.2987,,,0.14815666,,,0.64822267,,,4.0578,2.5486,7.4287,15,9,6.0,,
2554,退出,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3,退出,42,658.3011904761905,259.5618466758314,0.0,2,退出,31.9867,128.4,2396.4988,,,64,273.0,,,129.7924,2472.0163,,,0.33072737,,,0.05232523,,,4.0578,5.0147,5.1624,14,9,5.0,,
2555,退學,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,退学,37,663.7848648648646,173.1369322822849,7.5,2,退学,2.3202,128.4,1166.4395,,,64,248.0,,,129.7924,1430.7191,,,0.02399019,,,0.00372167,,,4.0578,4.8545,2.2271,17,9,8.0,,
2556,送客,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.469090404495941e-05,0.0,1.0,,2.0,1,送客,39,747.6589743589743,307.8211285521687,2.5,2,送客,0.3558,524.8543,685.6593,,,54,86.0,,,201.8903,425.3966,,,0.00299233,,,0.00199858,,,4.7868,4.9785,0.5038,18,9,9.0,,
2557,送行,3.468970062788358e-05,0.0,0.0,,1.0,3.4690502905934136e-05,0.0,0.6666666666666666,,1.6666666666666667,3.4690502905934136e-05,0.0,0.6666666666666666,,1.6666666666666667,3,送行,39,711.5925641025642,158.66037481160004,4.878048780487805,2,送行,1.2528,524.8543,1328.2914,,,54,243.0,,,201.8903,1250.1112,,,0.0105355,,,0.00164065,,,4.7868,5.0312,0.8737,15,9,6.0,,
2558,透視,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,5,透视,40,698.12825,220.85779248644843,0.0,2,透视,2.5352,99.1407,540.716,,,30,86.0,,,78.5767,667.2128,,,0.04502962,,,0.00715601,,,3.3906,5.5486,4.3016,18,10,8.0,,
